Country Name,Country Code,poblacion,clima,vecinos,puerto,vuelo
San Bartolomé,BLM,10562,Cálido,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
San Cristóbal y Nieves,KNA,51320,Cálido,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
San Marino,SMR,34132,Templado,Italia,Sin acceso directo (Uso de puertos vecinos),Accesible (Rutas Internacionales)
San Pedro y Miquelón,SPM,5819,Templado,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
San Vicente y Granadinas,VCT,110872,Cálido,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
"Santa Elena, Ascensión y Tristán de Acuña",SHN,5651,Cálido,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Santa Lucía,LCA,184100,Cálido,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Santo Tomé y Príncipe,STP,209607,Cálido,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Senegal,SEN,18593258,Cálido,"Gambia, Guinea, Guinea-Bisáu, Mali, Mauritania",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Serbia,SRB,6567783,Templado,"Bosnia y Herzegovina, Bulgaria, Croacia, Hungría, Kosovo, Macedonia del Norte, Montenegro, Rumania",Sin acceso directo (Uso de puertos vecinos),Accesible (Rutas Internacionales)
Seychelles,SYC,122729,Cálido,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Sierra Leone,SLE,9077691,Cálido,"Guinea, Liberia",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Singapur,SGP,6110200,Cálido,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Sint Maarten,SXM,41349,Cálido,Saint Martin,Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Siria,SYR,25620000,Templado,"Irak, Israel, Jordania, Líbano, Turquía",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Somalia,SOM,19655000,Cálido,"Djibouti, Etiopía, Kenia",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Sri Lanka,LKA,21763170,Cálido,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Suazilandia,SWZ,1235549,Templado,"Mozambique, Sudáfrica",Sin acceso directo (Uso de puertos vecinos),Accesible (Rutas Internacionales)
Sudáfrica,ZAF,63100945,Templado,"Botswana, Lesotho, Mozambique, Namibia, Suazilandia, Zimbabue",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Sudán,SDN,51662000,Cálido,"República Centroafricana, Chad, Egipto, Eritrea, Etiopía, Libia, Sudán del Sur",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Sudán del Sur,SSD,15786898,Cálido,"República Centroafricana, Congo (Rep. Dem.), Etiopía, Kenia, Sudán, Uganda",Sin acceso directo (Uso de puertos vecinos),Accesible (Rutas Internacionales)
Suecia,SWE,10605098,Frío,"Finlandia, Noruega",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Suiza,CHE,9082848,Templado,"Austria, Francia, Italia, Liechtenstein, Alemania",Sin acceso directo (Uso de puertos vecinos),Accesible (Rutas Internacionales)
Surinam,SUR,616500,Cálido,"Brasil, Guayana Francesa, Guyana",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Tailandia,THA,65859640,Cálido,"Myanmar, Camboya, Laos, Malasia",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Taiwán,TWN,23317031,Templado,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Tanzania,TZA,68153004,Cálido,"Burundi, Congo (Rep. Dem.), Kenia, Malawi, Mozambique, Ruanda, Uganda, Zambia",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Tayikistán,TJK,10499000,Templado,"Afganistán, China, Kirguizistán, Uzbekistán",Sin acceso directo (Uso de puertos vecinos),Accesible (Rutas Internacionales)
Territorio Británico del Océano Índico,IOT,0,Cálido,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Tierras Australes y Antárticas Francesas,ATF,400,Templado,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Timor Oriental,TLS,1391221,Cálido,Indonesia,Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Togo,TGO,8095498,Cálido,"Benín, Burkina Faso, Ghana",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Tonga,TON,100179,Cálido,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Trinidad y Tobago,TTO,1367764,Cálido,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Turkmenistán,TKM,7057841,Templado,"Afganistán, Iran, Kazajistán, Uzbekistán",Sin acceso directo (Uso de puertos vecinos),Accesible (Rutas Internacionales)
Turquía,TUR,85664944,Templado,"Armenia, Azerbaiyán, Bulgaria, Georgia, Grecia, Iran, Irak, Siria",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Tuvalu,TUV,10643,Cálido,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Túnez,TUN,11972169,Templado,"Argelia, Libia",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Ucrania,UKR,32862000,Templado,"Bielorrusia, Hungría, Moldavia, Polonia, Rumania, Rusia, República Eslovaca",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Uganda,UGA,45905417,Cálido,"Congo (Rep. Dem.), Kenia, Ruanda, Sudán del Sur, Tanzania",Sin acceso directo (Uso de puertos vecinos),Accesible (Rutas Internacionales)
Uruguay,URY,3499451,Templado,"Argentina, Brasil",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Uzbekistán,UZB,37859698,Templado,"Afganistán, Kazajistán, Kirguizistán, Tayikistán, Turkmenistán",Sin acceso directo (Uso de puertos vecinos),Accesible (Rutas Internacionales)
Vanuatu,VUT,321409,Cálido,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Venezuela,VEN,28517000,Cálido,"Brasil, Colombia, Guyana",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Vietnam,VNM,101343800,Cálido,"Camboya, China, Laos",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Wallis y Futuna,WLF,11620,Cálido,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Yemen,YEM,32684503,Cálido,"Omán, Arabia Saudí",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Zambia,ZMB,19693423,Cálido,"Angola, Botswana, Congo (Rep. Dem.), Malawi, Mozambique, Namibia, Tanzania, Zimbabue",Sin acceso directo (Uso de puertos vecinos),Accesible (Rutas Internacionales)
Zimbabue,ZWE,17073087,Cálido,"Botswana, Mozambique, Sudáfrica, Zambia",Sin acceso directo (Uso de puertos vecinos),Accesible (Rutas Internacionales)
